sample	unit	fq1	fq2	parhap	mother	inducer
MM1	KFRAG_00170	MM_1.fq.gz	NaN	haploid	LR00014	PL4
MM2	KFRAG_00171	MM_2.fq.gz	NaN	haploid	LR00014	PL4
MM3	KFRAG_00172	MM_3.fq.gz	NaN	haploid	LR00014	PL4
MM4	KFRAG_00173	MM_4.fq.gz	NaN	haploid	LR00014	PL4
MM5	KFRAG_00174	MM_5.fq.gz	NaN	haploid	LR00014	PL4
MM6	KFRAG_00175	MM_6.fq.gz	NaN	haploid	LR00014	PL4
MM7	KFRAG_00176	MM_7.fq.gz	NaN	haploid	LR00014	PL4
MM8	KFRAG_00177	MM_8.fq.gz	NaN	haploid	LR00014	PL4
MM9	KFRAG_00178	MM_9.fq.gz	NaN	haploid	LR00014	PL4
MM10	KFRAG_00179	MM_10.fq.gz	NaN	haploid	LR00014	PL4
MM11	KFRAG_00180	MM_11.fq.gz	NaN	haploid	LR00014	PL4
MM12	KFRAG_00181	MM_12.fq.gz	NaN	haploid	LR00014	PL4
MM13	KFRAG_00182	MM_13.fq.gz	NaN	haploid	LR00014	PL4
MM14	KFRAG_00183	MM_14.fq.gz	NaN	haploid	LR00014	PL4
MM15	KFRAG_00184	MM_15.fq.gz	NaN	haploid	LR00014	PL4
MM16	KFRAG_00185	MM_16.fq.gz	NaN	haploid	LR00014	PL4
MM17	KFRAG_00186	MM_17.fq.gz	NaN	haploid	LR00014	PL4
MM18	KFRAG_00187	MM_18.fq.gz	NaN	haploid	LR00014	PL4
MM19	KFRAG_00188	MM_19.fq.gz	NaN	haploid	LR00014	PL4
MM20	KFRAG_00189	MM_20.fq.gz	NaN	haploid	LR00014	PL4
MM21	KFRAG_00190	MM_21.fq.gz	NaN	haploid	LR00014	PL4
MM22	KFRAG_00191	MM_22.fq.gz	NaN	haploid	LR00014	PL4
MM23	KFRAG_00192	MM_23.fq.gz	NaN	haploid	LR00014	PL4
MM24	KFRAG_00193	MM_24.fq.gz	NaN	haploid	LR00014	PL4
MM25	KFRAG_00194	MM_25.fq.gz	NaN	haploid	LR00014	PL4
MM26	KFRAG_00195	MM_26.fq.gz	NaN	haploid	LR00014	PL4
MM27	KFRAG_00196	MM_27.fq.gz	NaN	haploid	LR00014	PL4
